Customer ID,City,Customer Last Name,Market,Region,Segment,State,Country,Customer First Name,Postal Code
MA-17995,Aachen,arnett,(EU),Central,Home Office,North Rhine-Westphalia,Germany,michelle,
TB-21520,Aachen,blumstein,(EU),Central,Consumer,North Rhine-Westphalia,Germany,tracy,
JC-15340,Aachen,cacioppo,(EU),Central,Consumer,North Rhine-Westphalia,Germany,jasper,
RC-19825,Aachen,collins,(EU),Central,Consumer,North Rhine-Westphalia,Germany,roy,
JE-15715,Aachen,elijah,(EU),Central,Consumer,North Rhine-Westphalia,Germany,joe,
DJ-13630,Aachen,jacobs,(EU),Central,Consumer,North Rhine-Westphalia,Germany,doug,
MO-17500,Aachen,o'rourke,(EU),Central,Consumer,North Rhine-Westphalia,Germany,mary,
VP-21760,Aachen,pisteka,(EU),Central,Corporate,North Rhine-Westphalia,Germany,victoria,
TS-21655,Aachen,schmidt,(EU),Central,Consumer,North Rhine-Westphalia,Germany,trudy,
GZ-14545,Aachen,zrebassa,(EU),Central,Corporate,North Rhine-Westphalia,Germany,george,
LL-16840,Aalen,leatherbury,(EU),Central,Consumer,Baden-Württemberg,Germany,lauren,
JM-15265,Aalst,molinari,(EU),Central,Corporate,East Flanders,Belgium,janet,
KA-6525,Aba,andreada,(Africa),Africa,Consumer,Abia,Nigeria,kelly,
AA-645,Aba,andreadi,(Africa),Africa,Consumer,Abia,Nigeria,anna,
DB-3210,Aba,braden,(Africa),Africa,Consumer,Abia,Nigeria,dean,
TC-10980,Aba,chand,(Africa),Africa,Corporate,Abia,Nigeria,tamara,
FH-4350,Aba,harton,(Africa),Africa,Consumer,Abia,Nigeria,fred,
DJ-3420,Aba,joy,(Africa),Africa,Corporate,Abia,Nigeria,denny,
BP-1050,Aba,pond,(Africa),Africa,Corporate,Abia,Nigeria,barry,
AW-930,Aba,wiediger,(Africa),Africa,Home Office,Abia,Nigeria,arthur,
DW-3480,Aba,wilson,(Africa),Africa,Home Office,Abia,Nigeria,dianna,
SC-10050,Abadan,company a,(EMEA),EMEA,Home Office,Khuzestan,Iran,sample,
JF-5415,Abadan,ferguson,(EMEA),EMEA,Consumer,Khuzestan,Iran,jennifer,
SF-10965,Abadan,foulston,(EMEA),EMEA,Corporate,Khuzestan,Iran,sylvia,
HG-5025,Abadan,glantz,(EMEA),EMEA,Consumer,Khuzestan,Iran,hunter,
